file	passage
complete_cell_all_20052015.fasta	XMDCK2
complete_cell_all_20052015.fasta	X1_C3
complete_cell_all_20052015.fasta	SIAT2_SIAT1
complete_cell_all_20052015.fasta	MDCK3
complete_cell_all_20052015.fasta	MX_S2
complete_cell_all_20052015.fasta	X2_C2
complete_cell_all_20052015.fasta	PASSAGE_DETAILS__P3_MDCK
complete_cell_all_20052015.fasta	C2
complete_cell_all_20052015.fasta	C_2___SIAT1
complete_cell_all_20052015.fasta	X_C2
complete_cell_all_20052015.fasta	S4
complete_cell_all_20052015.fasta	CX_S2
complete_cell_all_20052015.fasta	M3_C2
complete_cell_all_20052015.fasta	X_S1
complete_cell_all_20052015.fasta	C_3__1
complete_cell_all_20052015.fasta	M1_C2S1
complete_cell_all_20052015.fasta	C3_C1
complete_cell_all_20052015.fasta	MX_S3
complete_cell_all_20052015.fasta	SIAT3_SIAT1
complete_cell_all_20052015.fasta	M1_S3
complete_cell_all_20052015.fasta	C1_S3
complete_cell_all_20052015.fasta	CX
complete_cell_all_20052015.fasta	C3
complete_cell_all_20052015.fasta	C1S2
complete_cell_all_20052015.fasta	C2_SIAT2
complete_cell_all_20052015.fasta	MDCK_1
complete_cell_all_20052015.fasta	X1_S1
complete_cell_all_20052015.fasta	M_1_C_2___SIAT1
complete_cell_all_20052015.fasta	M2_C1
complete_cell_all_20052015.fasta	MDCK1
complete_cell_all_20052015.fasta	M2
complete_cell_all_20052015.fasta	PASSAGE_DETAILS__MDCK
complete_cell_all_20052015.fasta	C4
complete_cell_all_20052015.fasta	C_2__1
complete_cell_all_20052015.fasta	C2_S1
complete_cell_all_20052015.fasta	PASSAGE_DETAILS__MDCK_AND_MV1_LU_CELLS
complete_cell_all_20052015.fasta	C3_C2
complete_cell_all_20052015.fasta	X2_S1
complete_cell_all_20052015.fasta	M1C2
complete_cell_all_20052015.fasta	C3_S1
complete_cell_all_20052015.fasta	C1_C4
complete_cell_all_20052015.fasta	M1M1_C1
complete_cell_all_20052015.fasta	MX_S1
complete_cell_all_20052015.fasta	X1_C2
complete_cell_all_20052015.fasta	M2_S2
complete_cell_all_20052015.fasta	C2__SIAT1
complete_cell_all_20052015.fasta	MDCK2
complete_cell_all_20052015.fasta	C1_S1
complete_cell_all_20052015.fasta	MX
complete_cell_all_20052015.fasta	C5
complete_cell_all_20052015.fasta	M1M2_C1
complete_cell_all_20052015.fasta	C2_S2
complete_cell_all_20052015.fasta	CX_C1
complete_cell_all_20052015.fasta	PASSAGE_DETAILS__MDCK1
complete_cell_all_20052015.fasta	MDCK_3
complete_cell_all_20052015.fasta	X1_S3
complete_cell_all_20052015.fasta	PASSAGE_DETAILS__P1_MDCK
complete_cell_all_20052015.fasta	MX_C2
complete_cell_all_20052015.fasta	MK1_MDCK2
complete_cell_all_20052015.fasta	M2_C3
complete_cell_all_20052015.fasta	C4_C1
complete_cell_all_20052015.fasta	M1
complete_cell_all_20052015.fasta	C2S2
complete_cell_all_20052015.fasta	CX_C2
complete_cell_all_20052015.fasta	M1_C2
complete_cell_all_20052015.fasta	C2_SIAT1
complete_cell_all_20052015.fasta	S1
complete_cell_all_20052015.fasta	X2
complete_cell_all_20052015.fasta	X3_C2
complete_cell_all_20052015.fasta	MDCK_2
complete_cell_all_20052015.fasta	X
complete_cell_all_20052015.fasta	C1_C2
complete_cell_all_20052015.fasta	X_C1
complete_cell_all_20052015.fasta	M1_C1
complete_cell_all_20052015.fasta	C1_C1
complete_cell_all_20052015.fasta	X2_C1
complete_cell_all_20052015.fasta	X1_C1
complete_cell_all_20052015.fasta	M1_S2
complete_cell_all_20052015.fasta	C2_C1
complete_cell_all_20052015.fasta	X_C4
complete_cell_all_20052015.fasta	C1_S2
complete_cell_all_20052015.fasta	M1_C1S2
complete_cell_all_20052015.fasta	M1M2_S2
complete_cell_all_20052015.fasta	X1
complete_cell_all_20052015.fasta	C1
complete_cell_all_20052015.fasta	S2
complete_cell_all_20052015.fasta	PASSAGE_DETAILS__ND_MDCK
complete_cell_all_20052015.fasta	S3
complete_cell_all_20052015.fasta	MX_C1
complete_cell_all_20052015.fasta	X1_S2
complete_cell_all_20052015.fasta	CX_S1
complete_cell_all_20052015.fasta	M2_C2
complete_cell_all_20052015.fasta	PASSAGE_DETAILS__P0_MDCK
complete_cell_all_20052015.fasta	M1_C1S1
complete_cell_all_20052015.fasta	MDCK1_SIAT1_SIAT1
complete_cell_all_20052015.fasta	C1S1
complete_cell_all_20052015.fasta	M2_S1
complete_cell_all_20052015.fasta	C2_C2
complete_cell_all_20052015.fasta	X3_C1
complete_cell_all_20052015.fasta	M1_S1
complete_cell_all_20052015.fasta	M1_C3
complete_cell_all_20052015.fasta	MDCK1_MDCK2
complete_egg_all_20052015.fasta	SPFCK2E2
complete_egg_all_20052015.fasta	E4E8_E1__1
complete_egg_all_20052015.fasta	E3_E2
complete_egg_all_20052015.fasta	SPFCK3E3
complete_egg_all_20052015.fasta	E1
complete_egg_all_20052015.fasta	EGG
complete_egg_all_20052015.fasta	E3
complete_egg_all_20052015.fasta	E5_E2
complete_egg_all_20052015.fasta	E2
complete_egg_all_20052015.fasta	E4
complete_egg_all_20052015.fasta	E5
complete_egg_all_20052015.fasta	E3_E1
complete_egg_all_20052015.fasta	E4_E1
complete_egg_all_20052015.fasta	PASSAGE_DETAILS__CK3__E6
complete_egg_all_20052015.fasta	E6_E2
complete_egg_all_20052015.fasta	E3_E7
complete_egg_all_20052015.fasta	EX_E1
complete_egg_all_20052015.fasta	E4E8_E1
complete_egg_all_20052015.fasta	E6
complete_egg_all_20052015.fasta	E5_E1
complete_egg_all_20052015.fasta	E4_E2_E1
complete_monkey_all_20052015.fasta	R_MIX_1_RHMK_1
complete_monkey_all_20052015.fasta	PRHMK_3
complete_monkey_all_20052015.fasta	RMK_1ST_PASSAGE
complete_monkey_all_20052015.fasta	RMK1
complete_monkey_all_20052015.fasta	RHMK1
complete_monkey_all_20052015.fasta	R1
complete_monkey_all_20052015.fasta	RII
complete_monkey_all_20052015.fasta	PRHMK_1
complete_monkey_all_20052015.fasta	PASSAGE_DETAILS__PMK01
