count passage year 
1 cell 1995
0 cell 1996
0 cell 1997
0 cell 1998
2 cell 1999
0 cell 2000
1 cell 2001
0 cell 2002
3 cell 2003
5 cell 2004
10 cell 2005
16 cell 2006
129 cell 2007
95 cell 2008
133 cell 2009
197 cell 2010
231 cell 2011
385 cell 2012
264 cell 2013
794 cell 2014
787 cell 2015
0 egg 1995
0 egg 1996
0 egg 1997
0 egg 1998
2 egg 1999
0 egg 2000
0 egg 2001
0 egg 2002
3 egg 2003
4 egg 2004
2 egg 2005
2 egg 2006
4 egg 2007
1 egg 2008
3 egg 2009
15 egg 2010
2 egg 2011
29 egg 2012
15 egg 2013
6 egg 2014
0 egg 2015
49 monkey 1995
52 monkey 1996
26 monkey 1997
50 monkey 1998
92 monkey 1999
30 monkey 2000
15 monkey 2001
65 monkey 2002
88 monkey 2003
65 monkey 2004
35 monkey 2005
8 monkey 2006
2 monkey 2007
0 monkey 2008
4 monkey 2009
38 monkey 2010
18 monkey 2011
82 monkey 2012
74 monkey 2013
366 monkey 2014
290 monkey 2015
1 nonsiat 1995
0 nonsiat 1996
0 nonsiat 1997
0 nonsiat 1998
2 nonsiat 1999
0 nonsiat 2000
1 nonsiat 2001
0 nonsiat 2002
3 nonsiat 2003
5 nonsiat 2004
10 nonsiat 2005
16 nonsiat 2006
127 nonsiat 2007
89 nonsiat 2008
112 nonsiat 2009
182 nonsiat 2010
229 nonsiat 2011
380 nonsiat 2012
257 nonsiat 2013
297 nonsiat 2014
56 nonsiat 2015
1 other 1995
0 other 1996
0 other 1997
1 other 1998
7 other 1999
2 other 2000
1 other 2001
1 other 2002
3 other 2003
2 other 2004
47 other 2005
43 other 2006
27 other 2007
135 other 2008
86 other 2009
68 other 2010
70 other 2011
282 other 2012
264 other 2013
93 other 2014
18 other 2015
0 siat 1995
0 siat 1996
0 siat 1997
0 siat 1998
0 siat 1999
0 siat 2000
0 siat 2001
0 siat 2002
0 siat 2003
0 siat 2004
0 siat 2005
0 siat 2006
0 siat 2007
1 siat 2008
13 siat 2009
13 siat 2010
2 siat 2011
0 siat 2012
2 siat 2013
389 siat 2014
626 siat 2015
0 unpassaged 1995
0 unpassaged 1996
0 unpassaged 1997
0 unpassaged 1998
3 unpassaged 1999
1 unpassaged 2000
0 unpassaged 2001
4 unpassaged 2002
12 unpassaged 2003
6 unpassaged 2004
22 unpassaged 2005
18 unpassaged 2006
78 unpassaged 2007
36 unpassaged 2008
185 unpassaged 2009
69 unpassaged 2010
75 unpassaged 2011
184 unpassaged 2012
281 unpassaged 2013
249 unpassaged 2014
506 unpassaged 2015
