file	identifier
allyears_cell.fasta	C2_|_A_DELAWARE_13_2014
allyears_cell.fasta	C2_|_A_IDAHO_06_2011
allyears_cell.fasta	S3_|_A_WISCONSIN_46_2014
allyears_cell.fasta	C3_|_A_MAINE_02_2010
allyears_cell.fasta	M2_C1_|_A_MICHIGAN_10_2007
allyears_cell.fasta	C2_|_A_PENNSYLVANIA_24_2009
allyears_cell.fasta	C1_|_A_HAITI_66_2009
allyears_cell.fasta	X1_S1_|_A_TEXAS_94_2014
allyears_cell.fasta	S2_|_A_FLORIDA_26_2009
allyears_cell.fasta	C1_|_A_PUERTO_RICO_04_2012
allyears_cell.fasta	S1_|_A_OREGON_14_2009
allyears_cell.fasta	C2_|_A_WEST_VIRGINIA_03_2012
allyears_cell.fasta	S3_|_A_WISCONSIN_30_2015
allyears_cell.fasta	C2_|_A_DELAWARE_13_2011
allyears_cell.fasta	C1_|_A_MEXICO_1670_2015
allyears_cell.fasta	M1_C2_|_A_CALIFORNIA_13_2011
allyears_cell.fasta	C1_C2_|_A_HAWAII_16_2011
allyears_cell.fasta	C2_|_A_NEBRASKA_02_2011
allyears_cell.fasta	M1_C2_|_A_MARYLAND_18_2012
allyears_cell.fasta	S2_|_A_LOUISIANA_08_2014
allyears_cell.fasta	S3_|_A_NEBRASKA_16_2015
allyears_cell.fasta	C2_|_A_NEW_YORK_38_2012
allyears_cell.fasta	M1_C1_|_A_TEXAS_18_2009
allyears_cell.fasta	S1_|_A_COLORADO_30_2014
allyears_cell.fasta	C1_|_A_INDIANA_02_2014
allyears_cell.fasta	M1_C1_|_A_MICHIGAN_04_2010
allyears_cell.fasta	C2_|_A_IOWA_01_2013
allyears_cell.fasta	M1_C1_|_A_MICHIGAN_04_2012
allyears_cell.fasta	S2_|_A_DOMINICAN_REPUBLIC_3668_2009
allyears_cell.fasta	C2_|_A_IOWA_01_2014
allyears_cell.fasta	S1_|_A_WASHINGTON_01_2015
allyears_cell.fasta	S2_|_A_ALASKA_50_2015
allyears_cell.fasta	S2_|_A_ALASKA_50_2014
allyears_cell.fasta	S3_|_A_TEXAS_38_2015
allyears_cell.fasta	S1_|_A_NEBRASKA_05_2015
allyears_cell.fasta	S1_|_A_NEW_YORK_38_2014
allyears_cell.fasta	C2_|_A_KANSAS_05_2012
allyears_cell.fasta	S3_|_A_ALASKA_57_2014
allyears_cell.fasta	CX_C2_|_A_FLORIDA_10_2008
allyears_cell.fasta	M1_C2_|_A_MICHIGAN_02_2012
allyears_cell.fasta	C2_|_A_MEXICO_5270_2009
allyears_cell.fasta	S2_|_A_FLORIDA_69_2015
allyears_cell.fasta	S3_|_A_DELAWARE_04_2015
allyears_cell.fasta	C3_S1_|_A_TENNESSEE_24_2014
allyears_cell.fasta	M1_C1_|_A_WASHINGTON_04_2011
allyears_cell.fasta	S1_|_A_NEBRASKA_06_2015
allyears_cell.fasta	X1_C1_|_A_SOUTH_CAROLINA_06_2011
allyears_cell.fasta	C2_|_A_WASHINGTON_17_2013
allyears_cell.fasta	C2_|_A_WISCONSIN_50_2013
allyears_cell.fasta	C2_|_A_WASHINGTON_17_2014
