file	passage
allyears_cell.fasta	XMDCK2
allyears_cell.fasta	C_3__1
allyears_cell.fasta	C1S2
allyears_cell.fasta	SIAT2_SIAT1
allyears_cell.fasta	MDCK3
allyears_cell.fasta	MX_S2
allyears_cell.fasta	X2_C2
allyears_cell.fasta	PASSAGE_DETAILS__P3_MDCK
allyears_cell.fasta	C2
allyears_cell.fasta	C_2___SIAT1
allyears_cell.fasta	X_C2
allyears_cell.fasta	S4
allyears_cell.fasta	CX_S2
allyears_cell.fasta	M3_C2
allyears_cell.fasta	X_S1
allyears_cell.fasta	MDCK4
allyears_cell.fasta	M1_C2S1
allyears_cell.fasta	C3_C1
allyears_cell.fasta	MX_S3
allyears_cell.fasta	SIAT3_SIAT1
allyears_cell.fasta	M1_S3
allyears_cell.fasta	C1_S3
allyears_cell.fasta	CX
allyears_cell.fasta	X2
allyears_cell.fasta	X1_C3
allyears_cell.fasta	C2_SIAT2
allyears_cell.fasta	MDCK_1
allyears_cell.fasta	X1_S1
allyears_cell.fasta	M_1_C_2___SIAT1
allyears_cell.fasta	M2_C1
allyears_cell.fasta	MDCK1
allyears_cell.fasta	M2
allyears_cell.fasta	PASSAGE_DETAILS__MDCK
allyears_cell.fasta	C4
allyears_cell.fasta	C_2__1
allyears_cell.fasta	C2_S1
allyears_cell.fasta	PASSAGE_DETAILS__MDCK_AND_MV1_LU_CELLS
allyears_cell.fasta	C3_C2
allyears_cell.fasta	C3_S1
allyears_cell.fasta	M1C2
allyears_cell.fasta	X2_S1
allyears_cell.fasta	C1_C4
allyears_cell.fasta	M1M1_C1
allyears_cell.fasta	MX_S1
allyears_cell.fasta	X1_C2
allyears_cell.fasta	M2_S2
allyears_cell.fasta	C2__SIAT1
allyears_cell.fasta	MDCK2
allyears_cell.fasta	C1_S1
allyears_cell.fasta	MX
allyears_cell.fasta	C5
allyears_cell.fasta	M1M2_C1
allyears_cell.fasta	C2_S2
allyears_cell.fasta	CX_C1
allyears_cell.fasta	XMDCK1
allyears_cell.fasta	PASSAGE_DETAILS__MDCK1
allyears_cell.fasta	MDCK_3
allyears_cell.fasta	X1_S3
allyears_cell.fasta	CX_C2
allyears_cell.fasta	MX_C2
allyears_cell.fasta	MK1_MDCK2
allyears_cell.fasta	M2_C3
allyears_cell.fasta	C4_C1
allyears_cell.fasta	M1
allyears_cell.fasta	C2S2
allyears_cell.fasta	PASSAGE_DETAILS__P1_MDCK
allyears_cell.fasta	M1_C2
allyears_cell.fasta	C2_SIAT1
allyears_cell.fasta	S1
allyears_cell.fasta	C2_C2
allyears_cell.fasta	MDCK_2
allyears_cell.fasta	X
allyears_cell.fasta	C1_C2
allyears_cell.fasta	X_C1
allyears_cell.fasta	M1_C1
allyears_cell.fasta	C1_C1
allyears_cell.fasta	X2_C1
allyears_cell.fasta	X1_C1
allyears_cell.fasta	M1_S2
allyears_cell.fasta	C2_C1
allyears_cell.fasta	X_C4
allyears_cell.fasta	C1_S2
allyears_cell.fasta	M1_C1S2
allyears_cell.fasta	M1M2_S2
allyears_cell.fasta	X1
allyears_cell.fasta	C1
allyears_cell.fasta	S2
allyears_cell.fasta	PASSAGE_DETAILS__ND_MDCK
allyears_cell.fasta	S3
allyears_cell.fasta	MX_C1
allyears_cell.fasta	X1_S2
allyears_cell.fasta	CX_S1
allyears_cell.fasta	M2_C2
allyears_cell.fasta	PASSAGE_DETAILS__P0_MDCK
allyears_cell.fasta	M1_C1S1
allyears_cell.fasta	MDCK1_SIAT1_SIAT1
allyears_cell.fasta	C1S1
allyears_cell.fasta	M2_S1
allyears_cell.fasta	X3_C2
allyears_cell.fasta	X3_C1
allyears_cell.fasta	M1_S1
allyears_cell.fasta	M1_C3
allyears_cell.fasta	C3
allyears_cell.fasta	MDCK1_MDCK2
allyears_egg.fasta	E5_E1
allyears_egg.fasta	E4E8_E1__1
allyears_egg.fasta	AM1
allyears_egg.fasta	E4_E1
allyears_egg.fasta	E6_E2
allyears_egg.fasta	EX
allyears_egg.fasta	E3_E2
allyears_egg.fasta	EX_E1
allyears_egg.fasta	E2
allyears_egg.fasta	E4
allyears_egg.fasta	SPFCK2E3
allyears_egg.fasta	PASSAGE_DETAILS__CK3__E6
allyears_egg.fasta	E6
allyears_egg.fasta	E4E8_E1
allyears_egg.fasta	E4_E2_E1
allyears_egg.fasta	SPFCK3E3
allyears_egg.fasta	EGG
allyears_egg.fasta	E5_E2
allyears_egg.fasta	PASSAGE_DETAILS__E5
allyears_egg.fasta	EGG_PASSAGE
allyears_egg.fasta	AM_2
allyears_egg.fasta	SPFCK2E2
allyears_egg.fasta	E1
allyears_egg.fasta	E3
allyears_egg.fasta	SPFCK2E4
allyears_egg.fasta	E3_E1
allyears_egg.fasta	E3_E7
allyears_egg.fasta	E5
allyears_monkey.fasta	PRHMK_2
allyears_monkey.fasta	R_MIX_1_RHMK_1
allyears_monkey.fasta	PRHMK_3
allyears_monkey.fasta	RMK_1ST_PASSAGE
allyears_monkey.fasta	RHMK_5
allyears_monkey.fasta	RMK1
allyears_monkey.fasta	RHMK1
allyears_monkey.fasta	R1
allyears_monkey.fasta	RII
allyears_monkey.fasta	PRHMK_1
allyears_monkey.fasta	PASSAGE_DETAILS__PMK01
allyears_monkey.fasta	RHMK_1
allyears_monkey.fasta	PMK1
allyears_monkey.fasta	PRHMK_5
allyears_monkey.fasta	PRHMK_4
allyears_monkey.fasta	RHMK_3
allyears_monkey.fasta	RHMK_2
allyears_nonsiat.fasta	MDCK_3
allyears_nonsiat.fasta	XMDCK2
allyears_nonsiat.fasta	C_3__1
allyears_nonsiat.fasta	PASSAGE_DETAILS__P1_MDCK
allyears_nonsiat.fasta	MDCK_1
allyears_nonsiat.fasta	MX_C2
allyears_nonsiat.fasta	C_2__1
allyears_nonsiat.fasta	C1_C1
allyears_nonsiat.fasta	M2_C1
allyears_nonsiat.fasta	MK1_MDCK2
allyears_nonsiat.fasta	X1_C3
allyears_nonsiat.fasta	M2_C3
allyears_nonsiat.fasta	C4_C1
allyears_nonsiat.fasta	X1_C1
allyears_nonsiat.fasta	M1
allyears_nonsiat.fasta	X2_C2
allyears_nonsiat.fasta	M2
allyears_nonsiat.fasta	C3_C1
allyears_nonsiat.fasta	PASSAGE_DETAILS__P3_MDCK
allyears_nonsiat.fasta	C2_C1
allyears_nonsiat.fasta	X_C4
allyears_nonsiat.fasta	PASSAGE_DETAILS__MDCK
allyears_nonsiat.fasta	C4
allyears_nonsiat.fasta	CX_C2
allyears_nonsiat.fasta	C2
allyears_nonsiat.fasta	MDCK3
allyears_nonsiat.fasta	M1_C2
allyears_nonsiat.fasta	X1
allyears_nonsiat.fasta	M1_C3
allyears_nonsiat.fasta	X_C2
allyears_nonsiat.fasta	C3_C2
allyears_nonsiat.fasta	M3_C2
allyears_nonsiat.fasta	PASSAGE_DETAILS__ND_MDCK
