file	count
div_cell_all_1995.fasta 1
div_cell_all_1996.fasta 0
div_cell_all_1997.fasta 0
div_cell_all_1998.fasta 0
div_cell_all_1999.fasta 2
div_cell_all_2000.fasta 0
div_cell_all_2001.fasta 1
div_cell_all_2002.fasta 0
div_cell_all_2003.fasta 3
div_cell_all_2004.fasta 5
div_cell_all_2005.fasta 10
div_cell_all_2006.fasta 16
div_cell_all_2007.fasta 129
div_cell_all_2008.fasta 95
div_cell_all_2009.fasta 133
div_cell_all_2010.fasta 197
div_cell_all_2011.fasta 231
div_cell_all_2012.fasta 385
div_cell_all_2013.fasta 264
div_cell_all_2014.fasta 794
div_cell_all_2015.fasta 787
div_egg_all_1995.fasta 0
div_egg_all_1996.fasta 0
div_egg_all_1997.fasta 0
div_egg_all_1998.fasta 0
div_egg_all_1999.fasta 2
div_egg_all_2000.fasta 0
div_egg_all_2001.fasta 0
div_egg_all_2002.fasta 0
div_egg_all_2003.fasta 3
div_egg_all_2004.fasta 4
div_egg_all_2005.fasta 2
div_egg_all_2006.fasta 2
div_egg_all_2007.fasta 4
div_egg_all_2008.fasta 1
div_egg_all_2009.fasta 3
div_egg_all_2010.fasta 15
div_egg_all_2011.fasta 2
div_egg_all_2012.fasta 29
div_egg_all_2013.fasta 15
div_egg_all_2014.fasta 6
div_egg_all_2015.fasta 0
div_monkey_all_1995.fasta 49
div_monkey_all_1996.fasta 52
div_monkey_all_1997.fasta 26
div_monkey_all_1998.fasta 50
div_monkey_all_1999.fasta 92
div_monkey_all_2000.fasta 30
div_monkey_all_2001.fasta 15
div_monkey_all_2002.fasta 65
div_monkey_all_2003.fasta 88
div_monkey_all_2004.fasta 65
div_monkey_all_2005.fasta 35
div_monkey_all_2006.fasta 8
div_monkey_all_2007.fasta 2
div_monkey_all_2008.fasta 0
div_monkey_all_2009.fasta 4
div_monkey_all_2010.fasta 38
div_monkey_all_2011.fasta 18
div_monkey_all_2012.fasta 82
div_monkey_all_2013.fasta 74
div_monkey_all_2014.fasta 366
div_monkey_all_2015.fasta 290
div_nonsiat_all_1995.fasta 1
div_nonsiat_all_1996.fasta 0
div_nonsiat_all_1997.fasta 0
div_nonsiat_all_1998.fasta 0
div_nonsiat_all_1999.fasta 2
div_nonsiat_all_2000.fasta 0
div_nonsiat_all_2001.fasta 1
div_nonsiat_all_2002.fasta 0
div_nonsiat_all_2003.fasta 3
div_nonsiat_all_2004.fasta 5
div_nonsiat_all_2005.fasta 10
div_nonsiat_all_2006.fasta 16
div_nonsiat_all_2007.fasta 127
div_nonsiat_all_2008.fasta 89
div_nonsiat_all_2009.fasta 112
div_nonsiat_all_2010.fasta 182
div_nonsiat_all_2011.fasta 229
div_nonsiat_all_2012.fasta 380
div_nonsiat_all_2013.fasta 257
div_nonsiat_all_2014.fasta 297
div_nonsiat_all_2015.fasta 56
div_other_all_1995.fasta 1
div_other_all_1996.fasta 0
div_other_all_1997.fasta 0
div_other_all_1998.fasta 1
div_other_all_1999.fasta 7
div_other_all_2000.fasta 2
div_other_all_2001.fasta 1
div_other_all_2002.fasta 1
div_other_all_2003.fasta 3
div_other_all_2004.fasta 2
div_other_all_2005.fasta 47
div_other_all_2006.fasta 43
div_other_all_2007.fasta 27
div_other_all_2008.fasta 135
div_other_all_2009.fasta 86
div_other_all_2010.fasta 68
div_other_all_2011.fasta 70
div_other_all_2012.fasta 282
div_other_all_2013.fasta 264
div_other_all_2014.fasta 93
div_other_all_2015.fasta 18
div_siat_all_1995.fasta 0
div_siat_all_1996.fasta 0
div_siat_all_1997.fasta 0
div_siat_all_1998.fasta 0
div_siat_all_1999.fasta 0
div_siat_all_2000.fasta 0
div_siat_all_2001.fasta 0
div_siat_all_2002.fasta 0
div_siat_all_2003.fasta 0
div_siat_all_2004.fasta 0
div_siat_all_2005.fasta 0
div_siat_all_2006.fasta 0
div_siat_all_2007.fasta 0
div_siat_all_2008.fasta 1
div_siat_all_2009.fasta 13
div_siat_all_2010.fasta 13
div_siat_all_2011.fasta 2
div_siat_all_2012.fasta 0
div_siat_all_2013.fasta 2
div_siat_all_2014.fasta 389
div_siat_all_2015.fasta 626
div_unpassaged_all_1995.fasta 0
div_unpassaged_all_1996.fasta 0
div_unpassaged_all_1997.fasta 0
div_unpassaged_all_1998.fasta 0
div_unpassaged_all_1999.fasta 3
div_unpassaged_all_2000.fasta 1
div_unpassaged_all_2001.fasta 0
div_unpassaged_all_2002.fasta 4
div_unpassaged_all_2003.fasta 12
div_unpassaged_all_2004.fasta 6
div_unpassaged_all_2005.fasta 22
div_unpassaged_all_2006.fasta 18
div_unpassaged_all_2007.fasta 78
div_unpassaged_all_2008.fasta 36
div_unpassaged_all_2009.fasta 185
div_unpassaged_all_2010.fasta 69
div_unpassaged_all_2011.fasta 75
div_unpassaged_all_2012.fasta 184
div_unpassaged_all_2013.fasta 281
div_unpassaged_all_2014.fasta 249
div_unpassaged_all_2015.fasta 506
