file	passage
div_cell_all_1995.fasta	C1
div_cell_all_1999.fasta	C1
div_cell_all_1999.fasta	XMDCK2
div_cell_all_2001.fasta	C1
div_cell_all_2003.fasta	MDCK4
div_cell_all_2003.fasta	C1
div_cell_all_2004.fasta	MDCK_3
div_cell_all_2004.fasta	XMDCK1
div_cell_all_2004.fasta	MDCK_1
div_cell_all_2005.fasta	MDCK_3
div_cell_all_2005.fasta	PASSAGE_DETAILS__P3_MDCK
div_cell_all_2005.fasta	XMDCK2
div_cell_all_2005.fasta	MDCK_1
div_cell_all_2005.fasta	PASSAGE_DETAILS__P1_MDCK
div_cell_all_2005.fasta	PASSAGE_DETAILS__P0_MDCK
div_cell_all_2005.fasta	PASSAGE_DETAILS__ND_MDCK
div_cell_all_2006.fasta	MDCK_3
div_cell_all_2006.fasta	MDCK_1
div_cell_all_2006.fasta	PASSAGE_DETAILS__P1_MDCK
div_cell_all_2006.fasta	C1_C1
div_cell_all_2006.fasta	X_C1
div_cell_all_2006.fasta	C1
div_cell_all_2006.fasta	M1_C2
div_cell_all_2006.fasta	X_C2
div_cell_all_2006.fasta	X1_C1
div_cell_all_2006.fasta	M1_C1
div_cell_all_2006.fasta	PASSAGE_DETAILS__ND_MDCK
div_cell_all_2007.fasta	MDCK_3
div_cell_all_2007.fasta	MDCK_1
div_cell_all_2007.fasta	MX_C2
div_cell_all_2007.fasta	C1_C1
div_cell_all_2007.fasta	M2_C1
div_cell_all_2007.fasta	C4_C1
div_cell_all_2007.fasta	X1_C1
div_cell_all_2007.fasta	M1
div_cell_all_2007.fasta	X_C4
div_cell_all_2007.fasta	C1_S2
div_cell_all_2007.fasta	CX_C2
div_cell_all_2007.fasta	C2
div_cell_all_2007.fasta	M1_C2
div_cell_all_2007.fasta	X_C2
div_cell_all_2007.fasta	MX_C1
div_cell_all_2007.fasta	C1_C4
div_cell_all_2007.fasta	C2_C2
div_cell_all_2007.fasta	MDCK_2
div_cell_all_2007.fasta	MX_S1
div_cell_all_2007.fasta	X1_C2
div_cell_all_2007.fasta	X
div_cell_all_2007.fasta	C1_C2
div_cell_all_2007.fasta	X2_C1
div_cell_all_2007.fasta	MX
div_cell_all_2007.fasta	X3_C2
div_cell_all_2007.fasta	X_C1
div_cell_all_2007.fasta	C1
div_cell_all_2007.fasta	CX_C1
div_cell_all_2007.fasta	M1_C1
div_cell_all_2008.fasta	MX_C2
div_cell_all_2008.fasta	C1_C1
div_cell_all_2008.fasta	M2_C1
div_cell_all_2008.fasta	X_S1
div_cell_all_2008.fasta	X2_C1
div_cell_all_2008.fasta	X1_C1
div_cell_all_2008.fasta	C3_C2
div_cell_all_2008.fasta	M1_S2
div_cell_all_2008.fasta	C2_C1
div_cell_all_2008.fasta	CX_C2
div_cell_all_2008.fasta	C2
div_cell_all_2008.fasta	M1_C2
div_cell_all_2008.fasta	X_C2
div_cell_all_2008.fasta	X2_C2
div_cell_all_2008.fasta	MX_C1
div_cell_all_2008.fasta	S1
div_cell_all_2008.fasta	X2_S1
div_cell_all_2008.fasta	X1_C2
div_cell_all_2008.fasta	C1_C2
div_cell_all_2008.fasta	C3_C1
div_cell_all_2008.fasta	X3_C1
div_cell_all_2008.fasta	M1_S1
div_cell_all_2008.fasta	X_C1
div_cell_all_2008.fasta	C1
div_cell_all_2008.fasta	CX_C1
div_cell_all_2008.fasta	M1_C1
div_cell_all_2009.fasta	C1_C1
div_cell_all_2009.fasta	M2_C1
div_cell_all_2009.fasta	MDCK1
div_cell_all_2009.fasta	M1_C2S1
div_cell_all_2009.fasta	X2_C1
div_cell_all_2009.fasta	C2_C1
div_cell_all_2009.fasta	C1_S2
div_cell_all_2009.fasta	C4
div_cell_all_2009.fasta	C2
div_cell_all_2009.fasta	MDCK3
div_cell_all_2009.fasta	M1_C2
div_cell_all_2009.fasta	C2_S1
div_cell_all_2009.fasta	X1_C1
div_cell_all_2009.fasta	M1_C3
div_cell_all_2009.fasta	S2
div_cell_all_2009.fasta	MX_C1
div_cell_all_2009.fasta	S1
div_cell_all_2009.fasta	M1C2
div_cell_all_2009.fasta	MX_S1
div_cell_all_2009.fasta	X1_C2
div_cell_all_2009.fasta	C1_C2
div_cell_all_2009.fasta	C1S1
div_cell_all_2009.fasta	MDCK2
div_cell_all_2009.fasta	M2_S1
div_cell_all_2009.fasta	M1_S1
div_cell_all_2009.fasta	X_C1
div_cell_all_2009.fasta	C1
div_cell_all_2009.fasta	CX_C1
div_cell_all_2009.fasta	M1_C1
div_cell_all_2010.fasta	MX_C2
div_cell_all_2010.fasta	C1_C1
div_cell_all_2010.fasta	M2_C1
div_cell_all_2010.fasta	MK1_MDCK2
div_cell_all_2010.fasta	MDCK1
div_cell_all_2010.fasta	X1_C1
